trial,sample,elapsed_s,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,0,7.845314,0.098000,-4.704000,1.960000,-1.470000,2.156000,-0.882000,0.158229,-4.782094,2.003385,-1.551667,2.084031,-0.850099
0,1,7.878703,0.196000,-4.410000,1.764000,-1.372000,2.156000,-0.784000,0.256229,-4.488094,1.807385,-1.453667,2.084031,-0.752099
0,2,7.912195,0.098000,-4.606000,1.764000,-1.470000,2.254000,-0.980000,0.158229,-4.684094,1.807385,-1.551667,2.182031,-0.948099
0,3,7.945658,-0.098000,-4.802000,1.960000,-1.470000,2.156000,-0.882000,-0.037771,-4.880094,2.003385,-1.551667,2.084031,-0.850099
0,4,7.979132,0.196000,-4.802000,1.862000,-1.568000,2.156000,-0.588000,0.256229,-4.880094,1.905385,-1.649667,2.084031,-0.556099
0,5,8.012556,0.294000,-4.606000,1.666000,-1.470000,1.960000,-0.686000,0.354229,-4.684094,1.709385,-1.551667,1.888031,-0.654099
0,6,8.045953,0.196000,-4.606000,1.764000,-1.470000,2.156000,-0.686000,0.256229,-4.684094,1.807385,-1.551667,2.084031,-0.654099
0,7,8.079373,0.196000,-4.508000,1.862000,-1.470000,2.254000,-0.784000,0.256229,-4.586094,1.905385,-1.551667,2.182031,-0.752099
0,8,8.112793,0.098000,-4.508000,1.960000,-1.568000,2.156000,-0.686000,0.158229,-4.586094,2.003385,-1.649667,2.084031,-0.654099
0,9,8.146208,0.098000,-4.606000,1.960000,-1.568000,2.254000,-0.882000,0.158229,-4.684094,2.003385,-1.649667,2.182031,-0.850099
0,10,8.179629,0.196000,-4.606000,1.862000,-1.470000,2.254000,-0.784000,0.256229,-4.684094,1.905385,-1.551667,2.182031,-0.752099
0,11,8.213027,0.098000,-4.410000,1.666000,-1.568000,2.156000,-0.784000,0.158229,-4.488094,1.709385,-1.649667,2.084031,-0.752099
0,12,8.246430,0.098000,-4.704000,1.862000,-1.568000,2.058000,-0.882000,0.158229,-4.782094,1.905385,-1.649667,1.986031,-0.850099
0,13,8.279856,0.392000,-4.508000,1.764000,-1.666000,2.156000,-0.882000,0.452229,-4.586094,1.807385,-1.747667,2.084031,-0.850099
0,14,8.313249,0.000000,-4.508000,1.764000,-1.470000,2.058000,-0.686000,0.060229,-4.586094,1.807385,-1.551667,1.986031,-0.654099
0,15,8.346649,0.294000,-4.606000,1.568000,-1.470000,2.058000,-0.784000,0.354229,-4.684094,1.611385,-1.551667,1.986031,-0.752099
0,16,8.380046,0.196000,-4.508000,1.568000,-1.470000,1.960000,-0.784000,0.256229,-4.586094,1.611385,-1.551667,1.888031,-0.752099
0,17,8.413542,0.196000,-4.704000,1.666000,-1.666000,2.156000,-0.686000,0.256229,-4.782094,1.709385,-1.747667,2.084031,-0.654099
0,18,8.446940,0.000000,-4.704000,1.764000,-1.470000,1.960000,-0.882000,0.060229,-4.782094,1.807385,-1.551667,1.888031,-0.850099
0,19,8.480331,0.392000,-4.606000,1.862000,-1.372000,2.156000,-0.686000,0.452229,-4.684094,1.905385,-1.453667,2.084031,-0.654099
0,20,8.513724,0.294000,-4.508000,1.960000,-1.470000,2.156000,-0.686000,0.354229,-4.586094,2.003385,-1.551667,2.084031,-0.654099
0,21,8.547114,0.196000,-4.606000,1.960000,-1.568000,2.156000,-0.686000,0.256229,-4.684094,2.003385,-1.649667,2.084031,-0.654099
0,22,8.580573,0.098000,-4.704000,1.960000,-1.470000,2.254000,-0.784000,0.158229,-4.782094,2.003385,-1.551667,2.182031,-0.752099
0,23,8.613976,0.196000,-4.802000,1.960000,-1.764000,2.254000,-0.882000,0.256229,-4.880094,2.003385,-1.845667,2.182031,-0.850099
0,24,8.647376,0.196000,-4.704000,1.960000,-1.470000,2.058000,-0.784000,0.256229,-4.782094,2.003385,-1.551667,1.986031,-0.752099
0,25,8.680771,0.392000,-4.312000,1.862000,-1.372000,2.058000,-0.882000,0.452229,-4.390094,1.905385,-1.453667,1.986031,-0.850099
0,26,8.714159,0.098000,-4.606000,1.862000,-1.372000,2.254000,-0.686000,0.158229,-4.684094,1.905385,-1.453667,2.182031,-0.654099
0,27,8.747565,0.294000,-4.508000,1.960000,-1.470000,2.156000,-0.882000,0.354229,-4.586094,2.003385,-1.551667,2.084031,-0.850099
0,28,8.780961,0.294000,-4.606000,1.764000,-1.372000,1.960000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,1.888031,-0.654099
0,29,8.814348,0.196000,-4.508000,1.862000,-1.568000,2.058000,-0.784000,0.256229,-4.586094,1.905385,-1.649667,1.986031,-0.752099
0,30,8.847742,0.196000,-4.410000,1.764000,-1.470000,2.254000,-0.784000,0.256229,-4.488094,1.807385,-1.551667,2.182031,-0.752099
0,31,8.881196,0.196000,-4.606000,1.862000,-1.372000,2.156000,-0.882000,0.256229,-4.684094,1.905385,-1.453667,2.084031,-0.850099
0,32,8.914598,0.000000,-4.704000,1.862000,-1.274000,2.058000,-0.784000,0.060229,-4.782094,1.905385,-1.355667,1.986031,-0.752099
0,33,8.947987,0.294000,-4.508000,1.862000,-1.470000,2.254000,-0.686000,0.354229,-4.586094,1.905385,-1.551667,2.182031,-0.654099
0,34,8.981407,0.196000,-4.508000,1.764000,-1.470000,2.352000,-0.882000,0.256229,-4.586094,1.807385,-1.551667,2.280031,-0.850099
0,35,9.014860,0.490000,-4.802000,1.862000,-1.568000,2.156000,-0.784000,0.550229,-4.880094,1.905385,-1.649667,2.084031,-0.752099
0,36,9.048255,0.294000,-4.508000,2.058000,-1.470000,1.960000,-0.882000,0.354229,-4.586094,2.101385,-1.551667,1.888031,-0.850099
0,37,9.081647,0.196000,-4.704000,1.862000,-1.568000,2.254000,-0.686000,0.256229,-4.782094,1.905385,-1.649667,2.182031,-0.654099
0,38,9.115041,0.098000,-4.508000,1.862000,-1.470000,2.156000,-0.980000,0.158229,-4.586094,1.905385,-1.551667,2.084031,-0.948099
0,39,9.148431,0.196000,-4.704000,1.960000,-1.568000,2.254000,-0.588000,0.256229,-4.782094,2.003385,-1.649667,2.182031,-0.556099
0,40,9.181819,0.196000,-4.704000,1.862000,-1.568000,2.156000,-0.686000,0.256229,-4.782094,1.905385,-1.649667,2.084031,-0.654099
0,41,9.215214,0.098000,-4.802000,1.960000,-1.568000,2.156000,-0.882000,0.158229,-4.880094,2.003385,-1.649667,2.084031,-0.850099
0,42,9.248635,0.098000,-4.410000,1.862000,-1.568000,2.058000,-0.784000,0.158229,-4.488094,1.905385,-1.649667,1.986031,-0.752099
0,43,9.282036,0.294000,-4.508000,1.862000,-1.372000,2.352000,-0.784000,0.354229,-4.586094,1.905385,-1.453667,2.280031,-0.752099
0,44,9.315432,0.294000,-4.606000,1.862000,-1.176000,2.156000,-0.686000,0.354229,-4.684094,1.905385,-1.257667,2.084031,-0.654099
0,45,9.348808,0.196000,-4.508000,1.960000,-1.274000,2.352000,-0.686000,0.256229,-4.586094,2.003385,-1.355667,2.280031,-0.654099
0,46,9.382209,0.196000,-4.900000,1.960000,-1.568000,1.960000,-0.784000,0.256229,-4.978094,2.003385,-1.649667,1.888031,-0.752099
0,47,9.415609,0.098000,-4.606000,1.764000,-1.372000,2.156000,-0.686000,0.158229,-4.684094,1.807385,-1.453667,2.084031,-0.654099
0,48,9.448998,0.294000,-4.606000,1.862000,-1.470000,2.156000,-0.784000,0.354229,-4.684094,1.905385,-1.551667,2.084031,-0.752099
0,49,9.482378,0.000000,-4.606000,1.960000,-1.666000,2.058000,-0.784000,0.060229,-4.684094,2.003385,-1.747667,1.986031,-0.752099
0,50,9.515770,0.196000,-4.606000,1.862000,-1.372000,2.254000,-0.686000,0.256229,-4.684094,1.905385,-1.453667,2.182031,-0.654099
0,51,9.549158,0.098000,-4.410000,1.764000,-1.372000,2.058000,-0.784000,0.158229,-4.488094,1.807385,-1.453667,1.986031,-0.752099
0,52,9.584334,0.098000,-4.606000,1.862000,-1.568000,2.156000,-0.784000,0.158229,-4.684094,1.905385,-1.649667,2.084031,-0.752099
0,53,9.617847,0.196000,-4.998000,1.764000,-1.568000,2.156000,-0.686000,0.256229,-5.076094,1.807385,-1.649667,2.084031,-0.654099
0,54,9.651318,0.196000,-4.704000,1.764000,-1.470000,2.352000,-0.784000,0.256229,-4.782094,1.807385,-1.551667,2.280031,-0.752099
0,55,9.684719,0.392000,-4.704000,1.862000,-1.470000,2.254000,-0.784000,0.452229,-4.782094,1.905385,-1.551667,2.182031,-0.752099
0,56,9.718115,0.196000,-4.900000,1.764000,-1.568000,2.058000,-0.686000,0.256229,-4.978094,1.807385,-1.649667,1.986031,-0.654099
0,57,9.751531,0.196000,-4.410000,1.960000,-1.372000,2.352000,-0.686000,0.256229,-4.488094,2.003385,-1.453667,2.280031,-0.654099
0,58,9.784922,0.196000,-4.704000,1.666000,-1.372000,2.156000,-0.980000,0.256229,-4.782094,1.709385,-1.453667,2.084031,-0.948099
0,59,9.818310,0.196000,-4.802000,1.862000,-1.470000,2.156000,-0.882000,0.256229,-4.880094,1.905385,-1.551667,2.084031,-0.850099
0,60,9.851706,0.294000,-4.802000,1.960000,-1.568000,2.156000,-0.686000,0.354229,-4.880094,2.003385,-1.649667,2.084031,-0.654099
0,61,9.885111,0.098000,-4.802000,1.764000,-1.274000,2.254000,-0.784000,0.158229,-4.880094,1.807385,-1.355667,2.182031,-0.752099
0,62,9.918499,0.196000,-4.410000,1.960000,-1.666000,2.352000,-0.686000,0.256229,-4.488094,2.003385,-1.747667,2.280031,-0.654099
0,63,9.951890,0.196000,-4.606000,2.058000,-1.372000,2.254000,-0.686000,0.256229,-4.684094,2.101385,-1.453667,2.182031,-0.654099
0,64,9.985277,0.294000,-4.606000,1.764000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,2.084031,-0.654099
0,65,10.018670,0.392000,-4.606000,1.862000,-1.372000,2.156000,-0.882000,0.452229,-4.684094,1.905385,-1.453667,2.084031,-0.850099
0,66,10.052063,0.294000,-4.606000,1.862000,-1.372000,2.254000,-0.784000,0.354229,-4.684094,1.905385,-1.453667,2.182031,-0.752099
0,67,10.085462,0.392000,-4.410000,1.862000,-1.274000,2.254000,-0.882000,0.452229,-4.488094,1.905385,-1.355667,2.182031,-0.850099
0,68,10.118853,0.196000,-4.606000,2.058000,-1.372000,2.352000,-0.686000,0.256229,-4.684094,2.101385,-1.453667,2.280031,-0.654099
0,69,10.152246,0.196000,-4.606000,2.058000,-1.274000,2.254000,-0.784000,0.256229,-4.684094,2.101385,-1.355667,2.182031,-0.752099
0,70,10.185750,0.294000,-4.508000,1.764000,-1.372000,2.254000,-0.882000,0.354229,-4.586094,1.807385,-1.453667,2.182031,-0.850099
0,71,10.219247,0.098000,-4.410000,2.058000,-1.470000,2.156000,-0.784000,0.158229,-4.488094,2.101385,-1.551667,2.084031,-0.752099
0,72,10.252662,0.098000,-4.606000,2.058000,-1.568000,2.058000,-0.882000,0.158229,-4.684094,2.101385,-1.649667,1.986031,-0.850099
0,73,10.286056,0.098000,-4.606000,1.764000,-1.568000,2.156000,-0.784000,0.158229,-4.684094,1.807385,-1.649667,2.084031,-0.752099
0,74,10.319449,0.294000,-4.508000,1.764000,-1.470000,2.058000,-0.686000,0.354229,-4.586094,1.807385,-1.551667,1.986031,-0.654099
0,75,10.352839,0.196000,-4.704000,1.862000,-1.568000,2.254000,-0.784000,0.256229,-4.782094,1.905385,-1.649667,2.182031,-0.752099
0,76,10.386230,0.098000,-4.704000,2.058000,-1.470000,2.254000,-0.686000,0.158229,-4.782094,2.101385,-1.551667,2.182031,-0.654099
0,77,10.419626,0.294000,-4.606000,1.764000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,2.084031,-0.654099
0,78,10.453019,0.098000,-4.508000,1.960000,-1.372000,2.156000,-0.686000,0.158229,-4.586094,2.003385,-1.453667,2.084031,-0.654099
0,79,10.486402,0.098000,-4.606000,1.764000,-1.470000,2.058000,-0.784000,0.158229,-4.684094,1.807385,-1.551667,1.986031,-0.752099
0,80,10.519787,0.490000,-4.410000,1.960000,-1.470000,1.960000,-0.784000,0.550229,-4.488094,2.003385,-1.551667,1.888031,-0.752099
0,81,10.553178,0.196000,-4.606000,2.156000,-1.372000,2.156000,-0.784000,0.256229,-4.684094,2.199385,-1.453667,2.084031,-0.752099
0,82,10.586566,0.588000,-4.606000,2.058000,-1.470000,2.254000,-0.686000,0.648229,-4.684094,2.101385,-1.551667,2.182031,-0.654099
0,83,10.620078,0.294000,-4.508000,1.764000,-1.470000,2.156000,-0.686000,0.354229,-4.586094,1.807385,-1.551667,2.084031,-0.654099
0,84,10.653609,0.196000,-4.704000,1.960000,-1.470000,2.254000,-0.686000,0.256229,-4.782094,2.003385,-1.551667,2.182031,-0.654099
0,85,10.687110,0.294000,-4.606000,1.764000,-1.372000,2.352000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,2.280031,-0.654099
0,86,10.720587,0.098000,-4.704000,1.568000,-1.470000,2.058000,-0.784000,0.158229,-4.782094,1.611385,-1.551667,1.986031,-0.752099
0,87,10.753997,0.196000,-4.508000,1.862000,-1.568000,2.254000,-0.784000,0.256229,-4.586094,1.905385,-1.649667,2.182031,-0.752099
0,88,10.787480,0.294000,-4.508000,1.960000,-1.666000,2.254000,-0.686000,0.354229,-4.586094,2.003385,-1.747667,2.182031,-0.654099
0,89,10.820937,0.098000,-4.704000,1.862000,-1.666000,2.254000,-0.784000,0.158229,-4.782094,1.905385,-1.747667,2.182031,-0.752099
0,90,10.854384,0.196000,-4.704000,1.960000,-1.666000,2.058000,-0.882000,0.256229,-4.782094,2.003385,-1.747667,1.986031,-0.850099
0,91,10.887786,0.294000,-4.704000,1.666000,-1.470000,2.058000,-0.882000,0.354229,-4.782094,1.709385,-1.551667,1.986031,-0.850099
0,92,10.921187,0.098000,-4.606000,2.058000,-1.470000,2.254000,-0.784000,0.158229,-4.684094,2.101385,-1.551667,2.182031,-0.752099
0,93,10.954584,0.098000,-4.606000,1.862000,-1.568000,2.450000,-0.784000,0.158229,-4.684094,1.905385,-1.649667,2.378031,-0.752099
0,94,10.987978,0.196000,-4.410000,1.862000,-1.372000,2.254000,-0.686000,0.256229,-4.488094,1.905385,-1.453667,2.182031,-0.654099
0,95,11.021381,0.098000,-4.704000,1.862000,-1.470000,2.352000,-0.882000,0.158229,-4.782094,1.905385,-1.551667,2.280031,-0.850099
0,96,11.054773,0.294000,-4.606000,1.862000,-1.568000,2.254000,-0.686000,0.354229,-4.684094,1.905385,-1.649667,2.182031,-0.654099
0,97,11.088163,0.098000,-4.606000,1.862000,-1.372000,2.156000,-0.784000,0.158229,-4.684094,1.905385,-1.453667,2.084031,-0.752099
0,98,11.121556,0.294000,-4.704000,1.862000,-1.274000,2.156000,-0.784000,0.354229,-4.782094,1.905385,-1.355667,2.084031,-0.752099
0,99,11.154945,0.392000,-4.704000,1.764000,-1.568000,2.156000,-0.784000,0.452229,-4.782094,1.807385,-1.649667,2.084031,-0.752099
0,100,11.188343,0.392000,-4.508000,1.862000,-1.274000,2.254000,-1.078000,0.452229,-4.586094,1.905385,-1.355667,2.182031,-1.046099
0,101,11.221768,0.392000,-4.606000,1.862000,-1.470000,2.352000,-0.784000,0.452229,-4.684094,1.905385,-1.551667,2.280031,-0.752099
0,102,11.255171,0.294000,-4.900000,1.960000,-1.568000,2.352000,-0.882000,0.354229,-4.978094,2.003385,-1.649667,2.280031,-0.850099
0,103,11.288591,0.196000,-4.508000,1.862000,-1.372000,2.156000,-0.686000,0.256229,-4.586094,1.905385,-1.453667,2.084031,-0.654099
0,104,11.322033,0.392000,-4.606000,1.960000,-1.568000,2.156000,-0.686000,0.452229,-4.684094,2.003385,-1.649667,2.084031,-0.654099
0,105,11.355520,0.294000,-4.802000,1.568000,-1.470000,2.254000,-0.882000,0.354229,-4.880094,1.611385,-1.551667,2.182031,-0.850099
0,106,11.388984,0.294000,-4.704000,1.862000,-1.470000,2.156000,-0.882000,0.354229,-4.782094,1.905385,-1.551667,2.084031,-0.850099
0,107,11.422419,0.098000,-4.704000,1.862000,-1.470000,2.254000,-0.784000,0.158229,-4.782094,1.905385,-1.551667,2.182031,-0.752099
0,108,11.455841,0.196000,-4.704000,1.960000,-1.372000,2.254000,-0.784000,0.256229,-4.782094,2.003385,-1.453667,2.182031,-0.752099
0,109,11.489235,0.294000,-4.508000,1.862000,-1.470000,2.058000,-0.686000,0.354229,-4.586094,1.905385,-1.551667,1.986031,-0.654099
0,110,11.522632,0.294000,-4.606000,1.764000,-1.470000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.551667,2.084031,-0.654099
0,111,11.556022,0.392000,-4.606000,1.862000,-1.372000,2.254000,-0.784000,0.452229,-4.684094,1.905385,-1.453667,2.182031,-0.752099
0,112,11.589409,0.392000,-4.606000,1.862000,-1.568000,2.254000,-0.686000,0.452229,-4.684094,1.905385,-1.649667,2.182031,-0.654099
0,113,11.622819,0.000000,-4.606000,1.862000,-1.372000,2.156000,-0.784000,0.060229,-4.684094,1.905385,-1.453667,2.084031,-0.752099
0,114,11.656260,0.196000,-4.704000,2.156000,-1.666000,2.156000,-0.784000,0.256229,-4.782094,2.199385,-1.747667,2.084031,-0.752099
0,115,11.689661,0.196000,-4.704000,1.960000,-1.470000,2.254000,-0.784000,0.256229,-4.782094,2.003385,-1.551667,2.182031,-0.752099
0,116,11.723089,0.000000,-4.704000,2.058000,-1.372000,2.254000,-0.882000,0.060229,-4.782094,2.101385,-1.453667,2.182031,-0.850099
0,117,11.756484,0.196000,-4.606000,1.960000,-1.372000,2.352000,-0.686000,0.256229,-4.684094,2.003385,-1.453667,2.280031,-0.654099
0,118,11.789864,0.098000,-4.802000,1.862000,-1.372000,2.254000,-0.784000,0.158229,-4.880094,1.905385,-1.453667,2.182031,-0.752099
0,119,11.823255,0.294000,-4.508000,1.960000,-1.372000,2.058000,-0.882000,0.354229,-4.586094,2.003385,-1.453667,1.986031,-0.850099
0,120,11.856650,0.196000,-4.508000,1.960000,-1.372000,2.156000,-0.686000,0.256229,-4.586094,2.003385,-1.453667,2.084031,-0.654099
0,121,11.890029,0.196000,-4.410000,1.764000,-1.372000,2.352000,-0.784000,0.256229,-4.488094,1.807385,-1.453667,2.280031,-0.752099
0,122,11.923422,0.294000,-4.508000,1.862000,-1.470000,2.352000,-0.686000,0.354229,-4.586094,1.905385,-1.551667,2.280031,-0.654099
0,123,11.956810,0.294000,-4.606000,1.764000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,2.084031,-0.654099
0,124,11.990262,0.294000,-4.704000,1.960000,-1.470000,2.058000,-0.784000,0.354229,-4.782094,2.003385,-1.551667,1.986031,-0.752099
0,125,12.023705,0.196000,-4.508000,1.764000,-1.372000,2.254000,-0.686000,0.256229,-4.586094,1.807385,-1.453667,2.182031,-0.654099
0,126,12.057106,0.294000,-4.606000,1.764000,-1.470000,2.254000,-0.784000,0.354229,-4.684094,1.807385,-1.551667,2.182031,-0.752099
0,127,12.090491,0.294000,-4.802000,1.862000,-1.470000,1.960000,-0.588000,0.354229,-4.880094,1.905385,-1.551667,1.888031,-0.556099
1,0,25.261070,0.196000,-4.508000,1.666000,-1.568000,2.254000,-0.686000,0.256229,-4.586094,1.709385,-1.649667,2.182031,-0.654099
1,1,25.294564,0.098000,-4.802000,1.764000,-1.470000,2.156000,-0.784000,0.158229,-4.880094,1.807385,-1.551667,2.084031,-0.752099
1,2,25.328080,0.196000,-4.704000,1.862000,-1.568000,2.352000,-0.882000,0.256229,-4.782094,1.905385,-1.649667,2.280031,-0.850099
1,3,25.361493,-0.098000,-4.508000,1.666000,-1.372000,2.254000,-0.784000,-0.037771,-4.586094,1.709385,-1.453667,2.182031,-0.752099
1,4,25.394896,0.294000,-4.606000,1.568000,-1.568000,2.254000,-0.784000,0.354229,-4.684094,1.611385,-1.649667,2.182031,-0.752099
1,5,25.428322,0.196000,-4.410000,1.862000,-1.568000,2.058000,-0.784000,0.256229,-4.488094,1.905385,-1.649667,1.986031,-0.752099
1,6,25.461726,0.000000,-4.410000,1.960000,-1.470000,2.156000,-0.784000,0.060229,-4.488094,2.003385,-1.551667,2.084031,-0.752099
1,7,25.495210,0.196000,-4.606000,1.764000,-1.470000,1.960000,-0.882000,0.256229,-4.684094,1.807385,-1.551667,1.888031,-0.850099
1,8,25.528668,0.294000,-4.508000,1.666000,-1.568000,2.156000,-0.784000,0.354229,-4.586094,1.709385,-1.649667,2.084031,-0.752099
1,9,25.562071,0.196000,-4.606000,1.666000,-1.470000,2.352000,-0.686000,0.256229,-4.684094,1.709385,-1.551667,2.280031,-0.654099
1,10,25.595508,0.294000,-4.508000,1.960000,-1.372000,2.254000,-0.686000,0.354229,-4.586094,2.003385,-1.453667,2.182031,-0.654099
1,11,25.628940,0.294000,-4.508000,1.862000,-1.568000,2.156000,-0.784000,0.354229,-4.586094,1.905385,-1.649667,2.084031,-0.752099
1,12,25.662335,0.196000,-4.508000,1.960000,-1.568000,2.156000,-0.882000,0.256229,-4.586094,2.003385,-1.649667,2.084031,-0.850099
1,13,25.695785,0.294000,-4.606000,1.862000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.905385,-1.453667,2.084031,-0.654099
1,14,25.729208,0.196000,-4.410000,2.156000,-1.372000,2.156000,-0.784000,0.256229,-4.488094,2.199385,-1.453667,2.084031,-0.752099
1,15,25.762621,0.098000,-4.704000,1.960000,-1.470000,2.254000,-0.784000,0.158229,-4.782094,2.003385,-1.551667,2.182031,-0.752099
1,16,25.796096,0.196000,-4.704000,1.960000,-1.470000,2.156000,-0.784000,0.256229,-4.782094,2.003385,-1.551667,2.084031,-0.752099
1,17,25.829532,0.196000,-4.606000,1.960000,-1.470000,2.156000,-0.882000,0.256229,-4.684094,2.003385,-1.551667,2.084031,-0.850099
1,18,25.862933,0.196000,-4.606000,1.764000,-1.568000,2.156000,-0.882000,0.256229,-4.684094,1.807385,-1.649667,2.084031,-0.850099
1,19,25.896327,0.098000,-4.704000,1.862000,-1.470000,2.254000,-0.882000,0.158229,-4.782094,1.905385,-1.551667,2.182031,-0.850099
1,20,25.929743,0.294000,-4.704000,1.666000,-1.372000,2.156000,-0.784000,0.354229,-4.782094,1.709385,-1.453667,2.084031,-0.752099
1,21,25.963139,0.098000,-4.802000,1.764000,-1.274000,2.058000,-0.784000,0.158229,-4.880094,1.807385,-1.355667,1.986031,-0.752099
1,22,25.996566,0.294000,-4.704000,1.764000,-1.568000,2.156000,-0.784000,0.354229,-4.782094,1.807385,-1.649667,2.084031,-0.752099
1,23,26.029970,0.392000,-4.410000,1.960000,-1.470000,2.156000,-0.686000,0.452229,-4.488094,2.003385,-1.551667,2.084031,-0.654099
1,24,26.063370,0.294000,-4.802000,1.862000,-1.568000,2.156000,-0.980000,0.354229,-4.880094,1.905385,-1.649667,2.084031,-0.948099
1,25,26.096784,0.000000,-4.508000,1.960000,-1.666000,2.156000,-0.784000,0.060229,-4.586094,2.003385,-1.747667,2.084031,-0.752099
1,26,26.130202,0.098000,-4.802000,1.960000,-1.568000,2.254000,-0.686000,0.158229,-4.880094,2.003385,-1.649667,2.182031,-0.654099
1,27,26.163615,0.196000,-4.508000,2.058000,-1.568000,2.156000,-0.784000,0.256229,-4.586094,2.101385,-1.649667,2.084031,-0.752099
1,28,26.197008,0.294000,-4.410000,1.666000,-1.470000,2.254000,-0.882000,0.354229,-4.488094,1.709385,-1.551667,2.182031,-0.850099
1,29,26.230421,0.294000,-4.606000,1.764000,-1.470000,2.156000,-0.784000,0.354229,-4.684094,1.807385,-1.551667,2.084031,-0.752099
1,30,26.263873,0.196000,-4.606000,1.960000,-1.372000,2.254000,-0.686000,0.256229,-4.684094,2.003385,-1.453667,2.182031,-0.654099
