pose_index,pose,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz,S1_attempts,S1_frame_counter,S1_registers_hex,S2_attempts,S2_frame_counter,S2_registers_hex
0,home,0,5.085437,0.392000,-4.214000,1.862000,-1.862000,2.548000,-0.784000,1,0,00fd0110450356830800,1,0,fe01ff10da0859830400
0,home,1,5.118862,0.294000,-4.018000,1.666000,-1.764000,2.450000,-0.784000,1,1,00fd0114370155830800,1,1,fe01ff14e90859830400
0,home,2,5.152257,0.196000,-4.116000,1.568000,-1.568000,2.254000,-0.588000,1,2,00fd0118260054830800,1,2,ff01ff18070a5a830400
0,home,3,5.185650,0.196000,-4.116000,1.470000,-1.764000,2.450000,-0.686000,1,3,00fd001c260f55830800,1,3,fe01ff1ce9095a830400
0,home,4,5.219080,0.196000,-4.312000,1.764000,-1.666000,2.450000,-0.784000,1,0,00fd0110240255830800,1,0,fe01ff10f90859830400
0,home,5,5.252480,0.294000,-3.920000,1.764000,-1.470000,2.156000,-0.882000,1,1,00fd0114380255830800,1,1,ff01ff1416075b830400
0,home,6,5.285930,0.294000,-3.920000,1.666000,-1.666000,2.352000,-0.784000,1,2,00fd0118380156830800,1,2,fe01ff18f8085a830400
0,home,7,5.319359,0.196000,-4.018000,1.666000,-1.568000,2.352000,-0.784000,1,3,00fd011c270154830800,1,3,ff01ff1c08085a830400
0,home,8,5.352772,0.294000,-4.312000,1.666000,-1.666000,2.450000,-0.686000,1,0,00fd0110340154830800,1,0,fe01ff10f9095a830400
0,home,9,5.386164,0.196000,-4.214000,1.960000,-1.666000,2.156000,-0.980000,1,1,00fd0114250454830800,1,1,fe01ff14f6065a830400
0,home,10,5.419584,0.196000,-4.018000,1.666000,-1.470000,2.352000,-0.686000,1,2,00fd0118270154830800,1,2,ff01ff1818095a830400
0,home,11,5.452979,0.294000,-4.116000,1.764000,-1.764000,2.156000,-0.784000,1,3,00fd011c360254830800,1,3,fe01ff1ce6085b830400
0,home,12,5.486364,0.000000,-4.116000,1.470000,-1.666000,2.254000,-0.784000,1,0,00fd0010060f55830800,1,0,fe01ff10f70858830400
0,home,13,5.519785,0.196000,-4.116000,1.764000,-1.568000,2.450000,-0.686000,1,1,00fd0114260253830800,1,1,ff01ff1409095a830400
0,home,14,5.553178,0.294000,-4.312000,1.764000,-1.764000,2.254000,-0.980000,1,2,00fd0118340254830800,1,2,fe01ff18e7065a830400
0,home,15,5.586570,0.098000,-4.116000,1.470000,-1.666000,2.156000,-0.784000,1,3,00fd001c160f54830800,1,3,fe01ff1cf60859830400
0,home,16,5.619987,0.098000,-4.116000,1.568000,-1.764000,2.352000,-0.784000,1,0,00fd0110160056830800,1,0,fe01ff10e8085a830400
0,home,17,5.653378,0.294000,-4.214000,1.470000,-1.764000,2.352000,-0.686000,1,1,00fd0014350f54830800,1,1,fe01ff14e8095a830400
0,home,18,5.686787,0.000000,-4.214000,1.568000,-1.666000,2.254000,-0.882000,1,2,00fd0118050055830800,1,2,fe01ff18f7075b830400
0,home,19,5.720215,0.294000,-4.018000,1.666000,-1.764000,2.254000,-0.686000,1,3,00fd011c370156830800,1,3,fe01ff1ce7095a830400
0,home,20,5.753620,0.098000,-4.312000,1.764000,-1.568000,2.352000,-0.882000,1,0,00fd0110140253830800,1,0,ff01ff1008075a830400
0,home,21,5.787012,0.196000,-3.920000,1.764000,-1.764000,2.254000,-0.882000,1,1,00fd0114280255830800,1,1,fe01ff14e7075a830400
0,home,22,5.820430,0.196000,-4.018000,1.764000,-1.862000,2.352000,-0.882000,1,2,00fd0118270256830800,1,2,fe01ff18d80759830400
0,home,23,5.853968,0.294000,-3.920000,1.568000,-1.666000,2.254000,-0.686000,1,3,00fd011c380054830800,1,3,fe01ff1cf7095a830400
0,home,24,5.887483,0.196000,-4.116000,1.764000,-1.666000,2.450000,-0.588000,1,0,00fd0110260256830800,1,0,fe01ff10f90a5a830400
0,home,25,5.920920,0.196000,-3.920000,1.568000,-1.764000,2.156000,-0.784000,1,1,00fd0114280054830800,1,1,fe01ff14e60859830400
0,home,26,5.954308,0.294000,-4.116000,1.666000,-1.862000,2.254000,-0.882000,1,2,00fd0118360155830800,1,2,fe01ff18d7075a830400
0,home,27,5.987702,0.392000,-3.920000,1.568000,-1.764000,2.450000,-0.784000,1,3,00fd011c480054830800,1,3,fe01ff1ce9085a830400
0,home,28,6.021115,0.196000,-4.018000,1.666000,-1.568000,2.352000,-0.784000,1,0,00fd0110270156830800,1,0,ff01ff1008085b830400
0,home,29,6.054503,0.294000,-4.116000,1.764000,-1.666000,2.254000,-0.588000,1,1,00fd0114360254830800,1,1,fe01ff14f70a5a830400
0,home,30,6.087890,0.196000,-4.018000,1.764000,-1.764000,2.254000,-0.686000,1,2,00fd0118270254830800,1,2,fe01ff18e70959830400
0,home,31,6.121299,0.294000,-3.920000,1.764000,-1.764000,2.254000,-0.784000,1,3,00fd011c380254830800,1,3,fe01ff1ce70859830400
0,home,32,6.154688,0.196000,-3.822000,1.666000,-1.470000,2.450000,-0.686000,1,0,00fd0110290155830800,1,0,ff01ff1019095a830400
0,home,33,6.188085,0.294000,-4.018000,1.764000,-1.666000,2.352000,-0.686000,1,1,00fd0114370257830800,1,1,fe01ff14f8095a830400
0,home,34,6.221510,0.196000,-3.920000,1.764000,-1.862000,2.352000,-0.686000,1,2,00fd0118280255830800,1,2,fe01ff18d80959830400
0,home,35,6.254899,0.196000,-3.822000,1.666000,-1.764000,2.352000,-0.784000,1,3,00fd011c290156830800,1,3,fe01ff1ce8085a830400
0,home,36,6.288337,0.490000,-3.920000,1.862000,-1.568000,2.254000,-0.882000,1,0,00fd0110580355830800,1,0,ff01ff10070759830400
0,home,37,6.321751,0.196000,-3.920000,1.666000,-1.666000,2.254000,-0.882000,1,1,00fd0114280154830800,1,1,fe01ff14f7075a830400
0,home,38,6.355138,0.196000,-3.920000,1.960000,-1.764000,2.156000,-0.980000,1,2,00fd0118280454830800,1,2,fe01ff18e6065a830400
0,home,39,6.388529,0.392000,-4.214000,1.960000,-1.666000,2.254000,-0.784000,1,3,00fd011c450455830800,1,3,fe01ff1cf7085a830400
0,home,40,6.421936,0.196000,-4.116000,1.764000,-1.666000,2.352000,-0.686000,1,0,00fd0110260252830800,1,0,fe01ff10f8095a830400
0,home,41,6.455331,0.294000,-4.116000,1.862000,-1.666000,2.352000,-0.784000,1,1,00fd0114360354830800,1,1,fe01ff14f8085a830400
0,home,42,6.488782,0.392000,-3.920000,1.666000,-1.568000,2.352000,-0.882000,1,2,00fd0118480154830800,1,2,ff01ff18080758830400
0,home,43,6.522193,0.392000,-3.822000,1.568000,-1.568000,2.156000,-0.784000,1,3,00fd011c490053830800,1,3,ff01ff1c06085a830400
0,home,44,6.555593,0.196000,-4.116000,1.666000,-1.666000,2.352000,-0.784000,1,0,00fd0110260155830800,1,0,fe01ff10f8085a830400
0,home,45,6.588984,0.000000,-4.116000,1.470000,-1.764000,2.254000,-0.686000,1,1,00fd0014060f53830800,1,1,fe01ff14e70959830400
0,home,46,6.622392,0.196000,-4.116000,1.666000,-1.764000,2.450000,-0.686000,1,2,00fd0118260155830800,1,2,fe01ff18e9095a830400
0,home,47,6.655787,0.196000,-4.018000,1.568000,-1.666000,2.254000,-0.686000,1,3,00fd011c270055830800,1,3,fe01ff1cf70959830400
0,home,48,6.689192,0.294000,-4.116000,1.568000,-1.568000,2.352000,-0.686000,1,0,00fd0110360056830800,1,0,ff01ff1008095a830400
0,home,49,6.722611,0.294000,-4.214000,1.764000,-1.862000,2.352000,-0.882000,1,1,00fd0114350254830800,1,1,fe01ff14d80759830400
0,home,50,6.756005,0.098000,-4.116000,1.960000,-1.666000,2.254000,-0.784000,1,2,00fd0118160455830800,1,2,fe01ff18f7085b830400
0,home,51,6.789397,0.294000,-4.116000,1.666000,-1.764000,2.450000,-0.588000,1,3,00fd011c360157830800,1,3,fe01ff1ce90a5a830400
0,home,52,6.822808,0.098000,-4.116000,1.862000,-1.568000,2.254000,-0.686000,1,0,00fd0110160355830800,1,0,ff01ff10070959830400
0,home,53,6.856200,0.196000,-3.920000,1.568000,-1.568000,2.254000,-0.980000,1,1,00fd0114280055830800,1,1,ff01ff1407065a830400
0,home,54,6.889600,0.392000,-4.116000,1.764000,-1.764000,2.352000,-0.784000,1,2,00fd0118460255830800,1,2,fe01ff18e8085a830400
0,home,55,6.923011,0.000000,-4.116000,1.568000,-1.764000,2.352000,-0.784000,1,3,00fd011c060055830800,1,3,fe01ff1ce8085b830400
0,home,56,6.956405,0.098000,-4.018000,1.666000,-1.764000,2.254000,-0.784000,1,0,00fd0110170155830800,1,0,fe01ff10e70859830400
0,home,57,6.989804,0.196000,-4.116000,1.764000,-1.862000,2.450000,-0.784000,1,1,00fd0114260254830800,1,1,fe01ff14d9085b830400
0,home,58,7.023218,0.196000,-4.018000,1.666000,-1.862000,2.352000,-0.686000,1,2,00fd0118270155830800,1,2,fe01ff18d80959830400
0,home,59,7.056612,0.196000,-4.116000,1.764000,-1.666000,2.058000,-0.686000,1,3,00fd011c260257830800,1,3,fe01ff1cf5095a830400
0,home,60,7.090044,0.196000,-3.920000,1.666000,-1.666000,2.352000,-0.784000,1,0,00fd0110280152830800,1,0,fe01ff10f80859830400
0,home,61,7.123480,0.294000,-4.018000,1.764000,-1.764000,2.352000,-0.686000,1,1,00fd0114370253830800,1,1,fe01ff14e80959830400
0,home,62,7.156872,0.196000,-4.116000,1.862000,-1.764000,2.254000,-0.784000,1,2,00fd0118260354830800,1,2,fe01ff18e70859830400
0,home,63,7.190254,0.196000,-4.018000,1.764000,-1.764000,2.254000,-0.686000,1,3,00fd011c270255830800,1,3,fe01ff1ce70959830400
0,home,64,7.223668,0.098000,-4.116000,1.470000,-1.666000,2.352000,-0.784000,1,0,00fd0010160f54830800,1,0,fe01ff10f8085a830400
0,home,65,7.257067,0.294000,-4.018000,1.470000,-1.764000,2.058000,-0.784000,1,1,00fd0014370f54830800,1,1,fe01ff14e5085c830400
0,home,66,7.290493,0.098000,-3.822000,1.862000,-1.764000,2.156000,-0.686000,1,2,00fd0118190353830800,1,2,fe01ff18e6095a830400
0,home,67,7.323909,0.196000,-4.018000,1.666000,-1.666000,2.254000,-0.784000,1,3,00fd011c270155830800,1,3,fe01ff1cf7085a830400
0,home,68,7.357309,0.196000,-3.822000,1.764000,-1.666000,2.254000,-0.686000,1,0,00fd0110290255830800,1,0,fe01ff10f7095a830400
0,home,69,7.390726,0.196000,-4.116000,1.568000,-1.666000,2.254000,-0.686000,1,1,00fd0114260054830800,1,1,fe01ff14f7095b830400
0,home,70,7.424142,0.294000,-3.920000,1.470000,-1.666000,2.450000,-0.882000,1,2,00fd0018380f55830800,1,2,fe01ff18f9075a830400
0,home,71,7.457553,0.196000,-4.116000,1.764000,-1.568000,2.352000,-0.686000,1,3,00fd011c260256830800,1,3,ff01ff1c08095a830400
0,home,72,7.490944,0.196000,-4.214000,1.666000,-1.764000,2.352000,-0.784000,1,0,00fd0110250154830800,1,0,fe01ff10e8085a830400
0,home,73,7.524370,0.098000,-4.116000,1.764000,-1.666000,2.352000,-0.784000,1,1,00fd0114160252830800,1,1,fe01ff14f8085a830400
0,home,74,7.557764,0.098000,-3.626000,1.764000,-1.568000,2.156000,-0.784000,1,2,00fd01181b0255830800,1,2,ff01ff18060859830400
0,home,75,7.591162,0.294000,-4.116000,1.568000,-1.862000,2.352000,-0.588000,1,3,00fd011c360055830800,1,3,fe01ff1cd80a5a830400
0,home,76,7.624578,0.294000,-3.822000,1.666000,-1.666000,2.254000,-0.784000,1,0,00fd0110390156830800,1,0,fe01ff10f7085a830400
0,home,77,7.657967,0.294000,-4.018000,1.862000,-1.568000,2.548000,-0.784000,1,1,00fd0114370355830800,1,1,ff01ff140a085a830400
0,home,78,7.691455,0.196000,-4.018000,1.470000,-1.666000,2.352000,-0.784000,1,2,00fd0018270f54830800,1,2,fe01ff18f8085a830400
0,home,79,7.724879,0.098000,-4.116000,1.764000,-1.764000,2.352000,-0.686000,1,3,00fd011c160255830800,1,3,fe01ff1ce8095a830400
0,home,80,7.758265,0.098000,-3.920000,1.666000,-1.666000,2.254000,-0.784000,1,0,00fd0110180155830800,1,0,fe01ff10f70859830400
0,home,81,7.791659,0.098000,-4.214000,1.666000,-1.568000,2.156000,-0.784000,1,1,00fd0114150154830800,1,1,ff01ff1406085a830400
0,home,82,7.825069,0.196000,-4.116000,1.666000,-1.666000,2.156000,-0.784000,1,2,00fd0118260154830800,1,2,fe01ff18f6085a830400
0,home,83,7.858454,0.392000,-4.116000,1.666000,-1.764000,2.450000,-0.784000,1,3,00fd011c460154830800,1,3,fe01ff1ce90859830400
0,home,84,7.891864,0.392000,-4.214000,1.666000,-1.764000,2.254000,-0.686000,1,0,00fd0110450153830800,1,0,fe01ff10e7095a830400
0,home,85,7.925298,0.098000,-4.018000,1.764000,-1.470000,2.254000,-0.686000,1,1,00fd0114170255830800,1,1,ff01ff1417095a830400
0,home,86,7.958691,0.196000,-4.018000,1.666000,-1.764000,2.254000,-0.588000,1,2,00fd0118270155830800,1,2,fe01ff18e70a59830400
0,home,87,7.992087,0.000000,-3.920000,1.862000,-1.568000,2.254000,-0.686000,1,3,00fd011c080355830800,1,3,ff01ff1c07095a830400
0,home,88,8.025502,0.196000,-4.214000,1.764000,-1.666000,2.254000,-0.784000,1,0,00fd0110250254830800,1,0,fe01ff10f70859830400
0,home,89,8.058895,0.294000,-4.116000,1.470000,-1.764000,2.254000,-0.686000,1,1,00fd0014360f54830800,1,1,fe01ff14e7095a830400
0,home,90,8.092290,0.294000,-3.626000,1.764000,-1.764000,2.254000,-0.882000,1,2,00fd01183b0255830800,1,2,fe01ff18e7075a830400
0,home,91,8.125701,0.196000,-4.116000,1.470000,-1.666000,2.450000,-0.686000,1,3,00fd001c260f55830800,1,3,fe01ff1cf9095a830400
0,home,92,8.159101,0.294000,-4.116000,1.568000,-1.666000,2.254000,-0.784000,1,0,00fd0110360054830800,1,0,fe01ff10f7085b830400
0,home,93,8.192498,0.098000,-4.018000,1.764000,-1.568000,2.352000,-0.784000,1,1,00fd0114170253830800,1,1,ff01ff14080859830400
0,home,94,8.225903,0.196000,-4.116000,1.666000,-1.666000,2.156000,-0.784000,1,2,00fd0118260155830800,1,2,fe01ff18f60859830400
0,home,95,8.259296,0.098000,-3.920000,1.862000,-1.764000,2.352000,-0.784000,1,3,00fd011c180356830800,1,3,fe01ff1ce80859830400
0,home,96,8.292755,0.098000,-4.116000,1.666000,-1.862000,2.254000,-0.686000,1,0,00fd0110160154830800,1,0,fe01ff10d7095a830400
0,home,97,8.326164,0.196000,-3.920000,1.666000,-1.666000,2.352000,-0.784000,1,1,00fd0114280154830800,1,1,fe01ff14f8085a830400
0,home,98,8.359558,0.196000,-3.920000,1.862000,-1.764000,2.254000,-0.784000,1,2,00fd0118280354830800,1,2,fe01ff18e7085a830400
0,home,99,8.392953,0.196000,-4.116000,1.764000,-1.666000,2.352000,-0.588000,1,3,00fd011c260254830800,1,3,fe01ff1cf80a5b830400
0,home,100,8.426355,0.098000,-4.018000,1.666000,-1.568000,2.352000,-0.686000,1,0,00fd0110170154830800,1,0,ff01ff1008095a830400
0,home,101,8.459748,0.392000,-4.214000,1.666000,-1.862000,2.254000,-0.882000,1,1,00fd0114450155830800,1,1,fe01ff14d7075a830400
0,home,102,8.493134,0.392000,-4.312000,1.568000,-1.666000,2.254000,-0.686000,1,2,00fd0118440053830800,1,2,fe01ff18f70959830400
0,home,103,8.526553,0.098000,-4.116000,1.862000,-1.764000,2.450000,-0.784000,1,3,00fd011c160355830800,1,3,fe01ff1ce9085a830400
0,home,104,8.559943,0.196000,-4.018000,1.862000,-1.568000,2.352000,-0.686000,1,0,00fd0110270356830800,1,0,ff01ff1008095a830400
0,home,105,8.593333,0.196000,-3.724000,1.666000,-1.666000,2.156000,-0.686000,1,1,00fd01142a0154830800,1,1,fe01ff14f6095b830400
0,home,106,8.626751,0.294000,-4.018000,1.862000,-1.666000,2.548000,-0.686000,1,2,00fd0118370355830800,1,2,fe01ff18fa095a830400
0,home,107,8.660145,0.490000,-4.018000,1.666000,-1.764000,2.156000,-0.686000,1,3,00fd011c570154830800,1,3,fe01ff1ce60959830400
0,home,108,8.693584,0.294000,-4.214000,1.666000,-1.666000,2.254000,-0.686000,1,0,00fd0110350154830800,1,0,fe01ff10f7095a830400
0,home,109,8.727052,0.098000,-4.018000,1.666000,-1.568000,2.156000,-0.588000,1,1,00fd0114170155830800,1,1,ff01ff14060a5a830400
0,home,110,8.760447,0.294000,-4.214000,1.764000,-1.568000,2.254000,-0.882000,1,2,00fd0118350254830800,1,2,ff01ff1807075a830400
0,home,111,8.793852,0.196000,-4.018000,1.568000,-1.862000,2.450000,-0.686000,1,3,00fd011c270053830800,1,3,fe01ff1cd9095a830400
0,home,112,8.827262,0.098000,-4.116000,1.568000,-1.568000,2.352000,-0.882000,1,0,00fd0110160055830800,1,0,ff01ff1008075a830400
0,home,113,8.861219,0.098000,-4.214000,1.764000,-1.666000,2.254000,-0.686000,1,1,00fd0114150254830800,1,1,fe01ff14f7095a830400
0,home,114,8.894680,0.294000,-4.018000,1.568000,-1.764000,2.156000,-0.588000,1,2,00fd0118370054830800,1,2,fe01ff18e60a59830400
0,home,115,8.928103,0.196000,-4.116000,1.862000,-1.666000,2.352000,-0.686000,1,3,00fd011c260354830800,1,3,fe01ff1cf8095b830400
0,home,116,8.961493,0.392000,-4.116000,1.470000,-1.764000,2.254000,-0.686000,1,0,00fd0010460f55830800,1,0,fe01ff10e7095b830400
0,home,117,8.994884,0.294000,-3.920000,1.764000,-1.764000,2.254000,-0.686000,1,1,00fd0114380252830800,1,1,fe01ff14e70959830400
0,home,118,9.028306,0.098000,-4.116000,1.666000,-1.764000,2.352000,-0.686000,1,2,00fd0118160155830800,1,2,fe01ff18e80959830400
0,home,119,9.061702,0.196000,-4.018000,1.568000,-1.764000,2.156000,-0.686000,1,3,00fd011c270055830800,1,3,fe01ff1ce60959830400
0,home,120,9.095090,0.098000,-3.920000,1.470000,-1.764000,2.254000,-0.784000,1,0,00fd0010180f55830800,1,0,fe01ff10e7085a830400
0,home,121,9.128507,0.098000,-3.920000,1.666000,-1.666000,2.058000,-0.882000,1,1,00fd0114180154830800,1,1,fe01ff14f50759830400
0,home,122,9.161893,0.196000,-3.920000,1.666000,-1.764000,2.254000,-0.588000,1,2,00fd0118280152830800,1,2,fe01ff18e70a58830400
0,home,123,9.195280,0.294000,-4.116000,1.568000,-1.764000,2.156000,-0.686000,1,3,00fd011c360056830800,1,3,fe01ff1ce60959830400
0,home,124,9.228698,0.196000,-4.214000,1.568000,-1.862000,2.254000,-0.784000,1,0,00fd0110250053830800,1,0,fe01ff10d7085b830400
0,home,125,9.262086,0.098000,-4.312000,1.568000,-1.568000,2.352000,-0.882000,1,1,00fd0114140055830800,1,1,ff01ff1408075a830400
0,home,126,9.295496,0.196000,-3.920000,1.960000,-1.666000,2.254000,-0.784000,1,2,00fd0118280455830800,1,2,fe01ff18f7085b830400
0,home,127,9.328909,0.294000,-4.116000,1.862000,-1.666000,2.450000,-0.784000,1,3,00fd011c360355830800,1,3,fe01ff1cf9085a830400
1,yaw_plus_90,0,28.367564,2.254000,0.000000,0.000000,-0.686000,-2.842000,1.274000,1,1,01000014700055830800,1,1,fffe0014930d5a830400
1,yaw_plus_90,1,28.401082,2.156000,-0.294000,0.098000,-0.686000,-2.842000,1.176000,1,2,01ff00186d0155830800,1,2,fffe0018930c59830400
1,yaw_plus_90,2,28.434502,2.352000,-0.098000,-0.098000,-0.686000,-2.744000,1.176000,1,3,01ffff1c8f0f54830800,1,3,fffe001c940c59830400
